,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
1638,600039,四川路桥,0.0047,0.0013,0.1821,0.0015,0.2708
1639,000663,永安林业,0.0045,0.0007,0.2789,0.0015,0.1721
1640,600552,凯盛科技,0.0044,0.001,0.1293,0.0023,0.2474
1641,600992,贵绳股份,0.0041,0.0013,0.309,0.0037,0.4167
1642,002703,浙江世宝,0.004,0.0011,0.0534,0.0043,0.476
1643,000523,广州浪奇,0.0039,0.005,1.4658,0.0101,1.0386
1644,002384,东山精密,0.0038,0.0012,0.0614,0.0018,0.1924
1645,600319,*ST亚星,0.0038,0.0012,,0.0011,0.1079
1646,600862,中航高科,0.0037,0.0005,0.2385,0.0008,0.0954
1647,002342,巨力索具,0.0037,0.0006,0.1442,0.0015,0.1809
1648,002510,天汽模,0.0037,0.0009,0.0421,0.0017,0.2074
1649,600869,智慧能源,0.0035,0.0014,0.0946,0.0022,0.2881
1650,600192,长城电工,0.0034,0.0007,0.1469,0.0011,0.141
1651,600312,平高电气,0.0033,0.0007,0.0159,0.0014,0.1588
1652,600729,重庆百货,0.0032,0.0047,0.1461,0.0076,0.7735
1653,002352,鼎泰新材,0.0032,0.0012,0.0908,0.0062,0.6441
1654,600120,浙江东方,0.0031,0.0009,0.0189,0.0023,0.2843
1655,600858,银座股份,0.003,0.0017,0.5772,0.0024,0.2599
1656,300012,华测检测,0.003,0.001,0.1081,0.0039,0.4324
1657,300006,莱美药业,0.0028,0.0005,0.0374,0.0014,0.2594
1658,002069,*ST獐岛,0.0028,0.0009,0.6042,0.0011,0.1726
1659,600233,大杨创世,0.0027,0.0007,0.0403,0.0047,0.4757
1660,002315,焦点科技,0.0027,0.0003,0.0443,0.0018,0.2016
1661,000615,京汉股份,0.0027,0.0002,,0.0003,0.0311
1662,600366,宁波韵升,0.0026,0.0003,0.0025,0.0015,0.3057
1663,002424,贵州百灵,0.0024,0.0006,0.011,0.0022,0.2282
1664,002727,一心堂,0.002,0.0013,0.0301,0.0027,0.335
1665,600300,维维股份,0.0019,0.0005,0.0545,0.0009,0.0969
1666,002556,辉隆股份,0.0019,0.0013,0.0877,0.0022,0.2263
1667,002011,盾安环境,0.0018,0.0004,0.0855,0.0007,0.0888
1668,002324,普利特,0.0014,0.0007,0.0122,0.002,0.2706
1669,601919,中国远洋,0.0014,0.0004,,0.0006,0.1525
1670,000913,*ST钱江,0.0013,0.0004,0.0331,0.001,0.1383
1671,002331,皖通科技,0.0012,0.0003,0.018,0.0012,0.1194
1672,002775,文科园林,0.0009,0.0003,0.0083,0.0007,0.0722
1673,002538,司尔特,0.0009,0.0003,0.01,0.0008,0.1492
1674,002796,世嘉科技,0.0007,0.0003,0.0072,0.0016,0.1683
1675,002091,江苏国泰,0.0005,0.0005,0.0105,0.0009,0.0876
1676,600069,银鸽投资,0.0003,0.0001,,0.0001,0.017
1677,600680,上海普天,0.0001,0.0,0.0461,0.0,0.0017
1678,600827,百联股份,0.0001,0.0,0.0016,0.0001,0.0072
1679,002204,大连重工,-0.0008,-0.0001,-0.0801,-0.0002,-0.027
1680,000785,武汉中商,-0.0008,-0.0007,-0.0341,-0.0011,-0.1524
1681,603986,兆易创新,-0.0008,-0.0006,-0.0059,-0.0019,-0.2646
1682,002336,*ST人乐,-0.0012,-0.0011,-0.3773,-0.0018,-0.1853
1683,002429,兆驰股份,-0.0015,-0.0005,-0.0218,-0.0011,-0.1226
1684,300254,仟源医药,-0.0016,-0.0004,-0.0233,-0.001,-0.1533
1685,002318,久立特材,-0.0016,-0.0006,-0.0349,-0.0018,-0.2077
1686,000739,普洛药业,-0.0019,-0.0008,-0.036,-0.0014,-0.1511
1687,600188,兖州煤业,-0.002,-0.0004,-0.0872,-0.0005,-0.1187
1688,600697,欧亚集团,-0.0021,-0.0008,-0.0609,-0.0011,-0.123
1689,002798,帝王洁具,-0.0023,-0.0007,-0.0256,-0.0076,-0.8132
1690,300041,回天新材,-0.0025,-0.0008,-0.0224,-0.0049,-0.5288
1691,600699,均胜电子,-0.0025,-0.0005,-0.0537,-0.0007,-0.1301
1692,000905,厦门港务,-0.0025,-0.0016,-0.0991,-0.0035,-0.7716
1693,002281,光迅科技,-0.0026,-0.0011,-0.0355,-0.0024,-0.2699
1694,000708,大冶特钢,-0.0028,-0.0017,-0.0629,-0.005,-0.6276
1695,000049,德赛电池,-0.0032,-0.0034,-0.106,-0.0062,-0.6173
1696,600520,*ST中发,-0.0033,-0.0004,,-0.001,-0.1127
1697,600361,华联综超,-0.0034,-0.002,,-0.0026,-0.2785
1698,600711,盛屯矿业,-0.0034,-0.0019,-0.2736,-0.0034,-0.5871
1699,300169,天晟新材,-0.0036,-0.0006,-0.3316,-0.0018,-0.2087
1700,000552,靖远煤电,-0.0039,-0.0006,-0.0732,-0.0017,-0.1753
1701,600860,京城股份,-0.0039,-0.001,,-0.0021,-0.2516
1702,600137,浪莎股份,-0.0044,-0.0006,-0.1094,-0.0034,-0.3515
1703,603958,哈森股份,-0.0047,-0.0024,-0.0798,-0.0078,-0.7891
1704,002682,龙洲股份,-0.0051,-0.0012,-0.1612,-0.0022,-0.2723
1705,002649,博彦科技,-0.0052,-0.002,-0.0592,-0.0074,-0.9162
1706,002109,*ST兴化,-0.0055,-0.0013,,-0.0029,-0.3314
1707,600829,人民同泰,-0.0056,-0.0059,-0.2,-0.0092,-0.9783
1708,300069,金利华电,-0.0065,-0.0013,-0.0504,-0.0041,-0.4209
1709,300246,宝莱特,-0.0069,-0.0029,-0.0543,-0.0117,-1.2841
1710,603901,永创智能,-0.0069,-0.0022,-0.0711,-0.0053,-0.5331
1711,000021,深科技,-0.007,-0.0046,-0.2219,-0.0094,-0.9628
1712,002722,金轮股份,-0.0071,-0.0027,-0.0897,-0.0119,-1.2207
1713,600401,海润光伏,-0.0074,-0.0011,-0.437,-0.0015,-0.2191
1714,002571,德力股份,-0.0079,-0.0015,,-0.0045,-0.494
1715,601727,上海电气,-0.008,-0.0018,-0.1213,-0.0027,-0.3026
1716,600704,物产中大,-0.0082,-0.0088,-0.6753,-0.0122,-1.3753
1717,002303,美盈森,-0.0085,-0.0029,-0.0804,-0.0162,-1.7122
1718,002637,赞宇科技,-0.0085,-0.0042,-0.3354,-0.007,-0.723
1719,601168,西部矿业,-0.0088,-0.0046,-2.2986,-0.0083,-1.2906
1720,600857,宁波中百,-0.0093,-0.0054,-0.1616,-0.0273,-2.7449
1721,600785,新华百货,-0.0093,-0.0086,-1.4666,-0.0158,-1.8259
1722,002512,达华智能,-0.0096,-0.0027,-0.3697,-0.0061,-0.6851
1723,600653,申华控股,-0.0098,-0.005,,-0.0071,-0.8035
1724,002652,扬子新材,-0.0099,-0.0039,-0.1308,-0.0065,-0.8952
1725,002192,融捷股份,-0.0102,-0.0009,-0.1211,-0.0049,-0.8238
1726,600128,弘业股份,-0.0104,-0.0054,-0.8133,-0.0125,-1.3282
1727,603077,和邦生物,-0.0106,-0.0013,-0.1309,-0.0033,-0.3974
1728,600734,实达集团,-0.0108,-0.0015,-0.0888,-0.0025,-0.2685
1729,600961,株冶集团,-0.0109,-0.0106,-5.2267,-0.0108,-1.3099
1730,600315,上海家化,-0.0111,-0.0041,-0.0911,-0.0151,-1.8647
1731,002758,华通医药,-0.0111,-0.0072,-0.3264,-0.017,-1.7491
1732,002591,恒大高新,-0.0111,-0.0007,,-0.0037,-0.4541
1733,002540,亚太科技,-0.0111,-0.0044,-0.0916,-0.0584,-7.2597
1734,600684,珠江实业,-0.0111,-0.0019,-0.1349,-0.0028,-0.813
1735,000937,冀中能源,-0.0117,-0.0017,,-0.0033,-0.4754
1736,600249,两面针,-0.0119,-0.0026,,-0.0059,-0.6964
1737,002026,山东威达,-0.012,-0.0022,-0.1337,-0.0123,-1.4717
1738,600247,ST成城,-0.0121,-0.002,,-0.0022,-0.2202
1739,600870,厦华电子,-0.0125,-0.0775,-2.1168,-0.2077,-20.77
1740,002410,广联达,-0.0125,-0.0035,-0.0844,-0.0491,-4.9337
1741,000628,高新发展,-0.0126,-0.0025,-1.637,-0.003,-0.3078
1742,300124,汇川技术,-0.0129,-0.0032,-0.047,-0.0125,-1.3259
1743,002462,嘉事堂,-0.013,-0.0097,-0.3297,-0.0159,-1.5914
1744,002128,露天煤业,-0.013,-0.0022,-0.0892,-0.0062,-0.6927
1745,601390,中国中铁,-0.0132,-0.005,-0.6674,-0.0062,-0.7491
1746,600713,南京医药,-0.0134,-0.0129,-1.5723,-0.0162,-1.6561
1747,300486,东杰智能,-0.0135,-0.0012,,-0.0041,-0.4264
1748,300226,上海钢联,-0.0139,-0.0748,-13.3419,-0.1081,-11.3618
1749,600104,上汽集团,-0.014,-0.0094,-0.227,-0.0162,-1.9803
1750,002423,*ST中特,-0.0143,-0.0018,,-0.0035,-0.4477
1751,000016,深康佳A,-0.0146,-0.0084,-12.6721,-0.0105,-1.0713
1752,600468,百利电气,-0.0149,-0.0027,-0.227,-0.0095,-0.9935
1753,600630,龙头股份,-0.015,-0.0117,-0.5723,-0.0382,-3.8228
1754,002171,楚江新材,-0.015,-0.0204,-0.6652,-0.0586,-6.3442
1755,002409,雅克科技,-0.015,-0.0042,-0.2106,-0.0422,-4.6828
1756,002137,麦达数字,-0.0151,-0.0029,-0.0422,-0.0181,-1.8271
1757,600090,同济堂,-0.0153,-0.0074,-0.2721,-0.0259,-2.6276
1758,600859,王府井,-0.0155,-0.01,-0.4007,-0.0227,-3.8578
1759,600336,澳柯玛,-0.0156,-0.0105,-0.5397,-0.0163,-1.7211
1760,600509,天富能源,-0.0163,-0.0015,-0.2138,-0.0021,-0.7829
1761,300526,中潜股份,-0.0166,-0.0049,-0.167,-0.0092,-1.2154
1762,300216,千山药机,-0.0167,-0.0017,-0.4273,-0.0025,-0.4591
1763,002214,大立科技,-0.0169,-0.0023,-0.1907,-0.0074,-0.8303
1764,300043,星辉娱乐,-0.0171,-0.0032,-0.0566,-0.006,-1.2983
1765,300445,康斯特,-0.0173,-0.0031,-0.0893,-0.0812,-8.1174
1766,000795,英洛华,-0.0174,-0.0048,-0.6233,-0.0162,-1.7324
1767,002044,美年健康,-0.0176,-0.0039,,-0.0128,-1.3947
1768,300131,英唐智控,-0.0177,-0.0087,-0.2525,-0.0233,-2.3259
1769,000778,新兴铸管,-0.0182,-0.0096,-2.477,-0.0151,-1.8965
1770,002733,雄韬股份,-0.0183,-0.0092,-0.3721,-0.0195,-2.0658
1771,002187,广百股份,-0.0183,-0.0153,-0.7528,-0.0376,-3.8782
1772,300291,华录百纳,-0.0185,-0.004,-0.2141,-0.0182,-1.8252
1773,002066,瑞泰科技,-0.0185,-0.0047,-1.6153,-0.0062,-0.7275
1774,300487,蓝晓科技,-0.0186,-0.0034,-0.1113,-0.0202,-2.0338
1775,002616,长青集团,-0.0186,-0.0051,-0.2629,-0.0118,-1.4116
1776,000409,山东地矿,-0.0186,-0.0044,-0.8892,-0.006,-0.7994
1777,603589,口子窖,-0.0187,-0.0055,-0.0683,-0.0241,-2.5069
1778,002514,宝馨科技,-0.019,-0.0036,-0.5384,-0.0123,-1.2338
1779,002002,鸿达兴业,-0.0193,-0.0036,-0.1542,-0.005,-0.6459
1780,000812,陕西金叶,-0.0196,-0.0027,-0.2067,-0.0057,-0.5805
1781,000652,泰达股份,-0.0196,-0.004,-1.7774,-0.0046,-0.7044
1782,002260,德奥通航,-0.0205,-0.006,,-0.0092,-0.9613
1783,000611,*ST天首,-0.0205,-0.0008,,-0.0014,-0.1357
1784,600228,昌九生化,-0.0206,-0.008,,-0.0108,-1.1907
1785,600127,金健米业,-0.0207,-0.0148,-2.03,-0.0323,-3.5802
1786,002116,中国海诚,-0.0209,-0.0137,-0.5246,-0.0209,-2.0961
1787,002242,九阳股份,-0.0209,-0.0149,-0.1822,-0.0484,-4.9052
1788,603015,弘讯科技,-0.0211,-0.004,-0.1769,-0.0254,-2.6302
1789,600151,航天机电,-0.0211,-0.0039,-0.567,-0.0059,-0.8496
1790,300425,环能科技,-0.0212,-0.0036,-0.1477,-0.0166,-1.8897
1791,300349,金卡股份,-0.0216,-0.0054,-0.1651,-0.0276,-3.1116
1792,002546,新联电子,-0.0216,-0.0021,-0.1284,-0.0189,-1.9878
1793,000800,一汽轿车,-0.0218,-0.0109,,-0.0203,-2.1362
1794,601958,金钼股份,-0.022,-0.0066,,-0.0316,-6.2373
