,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
1980,600792,云煤能源,0.5442,0.4838,10.7797,31.3801,46.8854,53.1146
1981,002607,亚夏汽车,1.109,0.6897,38.2906,250.9305,46.8045,53.1955
1982,002482,广田集团,2.0135,1.8978,23.4344,399.2798,46.8035,53.1965
1983,600618,氯碱化工,0.7278,0.573,20.3445,133.2404,46.7854,53.2146
1984,002018,华信国际,1.5251,1.5219999999999998,13.8872,7029.1509,46.764,53.236
1985,002277,友阿股份,1.4436,0.6838,49.8139,5068.8519,46.7518,53.2482
1986,002628,成都路桥,1.4047,1.077,36.064,216.6145,46.716,53.284
1987,300469,信息发展,1.6975,1.1716,25.824,-248.86,46.6967,53.3033
1988,601225,陕西煤业,0.6385,0.5935,15.5501,320.558,46.6441,53.3559
1989,600555,海航创新,2.046,0.8914,46.3063,42.4037,46.6313,53.3687
1990,000687,华讯方舟,1.0294,1.0084,40.3729,654.9323,46.544,53.456
1991,000546,金圆股份,0.8631,0.7589,8.3231,370.5204,46.5384,53.4616
1992,000425,徐工机械,1.7692,1.4211,25.9405,738.7360000000001,46.5376,53.4624
1993,000150,宜华健康,1.2889,1.2526,26.3177,2501.4573,46.5236,53.4764
1994,000010,美丽生态,1.5894,0.7363,42.6406,170.5867,46.4455,53.5545
1995,000158,常山股份,1.1311,0.8134,18.465,84.8507,46.42,53.58
1996,002323,雅百特,1.5373,0.6211,9.2383,6784.5308,46.3565,53.6435
1997,000532,力合股份,1.2002,1.0088,79.1244,426.1959,46.3061,53.6939
1998,002344,海宁皮城,0.8821,0.5117,25.875,1776.818,46.288,53.712
1999,600316,洪都航空,1.7248,0.8598,28.5313,113.9557,46.282,53.718
2000,600478,科力远,1.5565,1.3236,90.2013,-383.11300000000006,46.267,53.733
2001,002316,键桥通讯,1.2232,1.0884,34.3583,30.7009,46.2559,53.7441
2002,002626,金达威,1.4277,1.1105,74.7672,7283.2209,46.2318,53.7682
2003,000514,渝开发,1.9639,0.348,20.3338,57.8199,46.2306,53.7694
2004,000800,一汽轿车,0.8841,0.5072,2.2864,-1802.9841,46.1611,53.8389
