,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
506,600679,上海凤凰,3.5538,101.3,4.1019,87.7642,0.5768,624.1331
507,000859,国风塑业,3.3997,105.8917,4.0888,88.0454,0.8274,435.0979
508,603328,依顿电子,1.5119,238.111,4.0737,88.3718,0.424,849.0566
509,002328,新朋股份,4.4777,80.3984,4.0729,88.3891,0.9099,395.6479
510,002549,凯美特气,1.209,297.7667,4.0703,88.4456,0.2541,1416.7651
511,600335,国机汽车,83.5734,4.3076,4.0626,88.6132,2.3915,150.5331
512,601699,潞安环能,3.7556,95.8569,4.0536,88.8099,0.4071,884.3036
513,600438,通威股份,19.3192,18.6343,4.046,88.9768,2.055,175.1825
514,002554,惠博普,1.1865,303.4134,4.0333,89.2569,0.531,677.9661
515,000782,美达股份,12.6996,28.3473,4.0325,89.2746,1.2002,299.95
516,600126,杭钢股份,104.701,3.4384,4.0261,89.4166,1.243,289.6219
517,002572,索菲亚,19.7401,18.237,4.0245,89.4521,0.5976,602.4096
518,600327,大东方,43.3603,8.3025,4.0184,89.5879,2.0398,176.4879
519,600619,海立股份,2.3394,153.8856,4.0173,89.6124,0.7281,494.4376
520,000825,太钢不锈,14.7237,24.4504,4.0156,89.6504,2.1512,167.3485
521,002010,传化股份,3.2687,110.1355,4.0138,89.6906,1.0849,331.8278
522,000553,沙隆达A,5.6091,64.1814,4.012,89.7308,1.5038,239.3935
523,300305,裕兴股份,3.6663,98.1916,4.009,89.798,0.3446,1044.6895
524,603600,永艺股份,5.5695,64.6378,4.0044,89.9011,1.8474,194.8685
525,002165,红宝丽,3.2547,110.6093,4.0,90.0,1.0519,342.2379
526,000936,华西股份,8.647,41.6329,3.9975,90.0563,0.7445,483.546
527,600967,北方创业,2.638,136.467,3.9944,90.1262,0.7245,496.8944
528,600634,中技控股,1.8846,191.022,3.9927,90.1646,0.4966,724.9295
529,002408,齐翔腾达,12.6086,28.5519,3.9919,90.1826,1.1503,312.9618
530,000672,上峰水泥,15.8146,22.7638,3.989,90.2482,1.3498,266.7062
531,002109,*ST兴化,6.4481,55.8304,3.9887,90.255,0.9223,390.3285
532,002509,天广中茂,1.4793,243.3583,3.9562,90.9964,0.387,930.2326
533,000630,铜陵有色,24.6385,14.6113,3.9549,91.0263,1.7088,210.6742
534,002682,龙洲股份,4.9245,73.1039,3.9533,91.0632,0.8391,429.0311
535,000893,东凌国际,125.333,2.8723,3.9412,91.3427,1.0666,337.5211
536,000702,正虹科技,226.2083,1.5915,3.9374,91.4309,2.5622,140.5043
537,000716,黑芝麻,11.1147,32.3895,3.9304,91.5937,1.0502,342.7918
538,300219,鸿利智汇,2.1971,163.8524,3.9169,91.9094,0.7027,512.3097
539,002696,百洋股份,3.4352,104.7974,3.9107,92.0551,0.7394,486.8813
540,600507,方大特钢,21.2432,16.9466,3.9082,92.114,1.162,309.8107
541,600386,北巴传媒,6.7633,53.2285,3.8955,92.4143,0.8594,418.8969
542,002700,新疆浩源,6.6549,54.0955,3.8903,92.5379,0.3574,1007.2748
543,600229,城市传媒,6.1352,58.6778,3.883,92.7118,0.7976,451.3541
544,600595,中孚实业,8.2901,43.4253,3.8818,92.7405,0.7281,494.4376
545,000060,中金岭南,23.1388,15.5583,3.881,92.7596,1.8496,194.6367
546,000572,海马汽车,155.0635,2.3216,3.8794,92.7979,0.9093,395.9089
547,002458,益生股份,19.4017,18.5551,3.8651,93.1412,1.2761,282.1096
548,600998,九州通,4.4658,80.6127,3.8632,93.187,1.1865,303.4134
549,601015,陕西黑猫,9.9216,36.2845,3.859,93.2884,0.8757,411.0997
550,002189,利达光电,1.5275,235.6792,3.8578,93.3174,0.7792,462.0123
551,601718,际华集团,9.3404,38.5422,3.8467,93.5867,1.1865,303.4134
552,000725,京东方A,3.2296,111.4689,3.8239,94.1447,0.3615,995.8506
553,002627,宜昌交运,25.5615,14.0837,3.8236,94.1521,0.7957,452.4318
554,300025,华星创业,0.4275,842.1053,3.8129,94.4163,0.3404,1057.5793
555,600612,老凤祥,70.6262,5.0973,3.8068,94.5676,2.2117,162.7707
556,603168,莎普爱思,17.151,20.99,3.8022,94.682,0.7909,455.1776
557,601677,明泰铝业,9.3408,38.5406,3.7896,94.9968,1.1649,309.0394
558,600802,福建水泥,54.7488,6.5755,3.788,95.037,0.8948,402.3245
559,000027,深圳能源,2.7695,129.9874,3.7842,95.1324,0.575,626.087
560,600409,三友化工,13.2837,27.1009,3.782,95.1877,1.106,325.4973
561,600060,海信电器,9.1603,39.3,3.7774,95.3036,0.7827,459.9463
562,601857,中国石油,15.6579,22.9916,3.7649,95.6201,2.4544,146.6754
563,002251,步步高,78.7066,4.5739,3.7636,95.6531,1.9417,185.4045
564,002002,鸿达兴业,3.1827,113.1115,3.7616,95.704,0.5199,692.4409
565,002506,协鑫集成,0.1836,1960.7843,3.7524,95.9386,0.1129,3188.6625
566,000050,深天马A,2.377,151.4514,3.7517,95.9565,0.944,381.3559
567,600006,东风汽车,10.0003,35.9989,3.7423,96.1975,0.6601,545.3719
568,000404,华意压缩,3.2744,109.9438,3.7374,96.3236,0.8279,434.8351
